	name	uid	intro	followingNum
0	iirham	@iirham6		9
1	【公式】Echocalypse -緋紅の神約-	Echocalypse_JP	"ケモノ娘ⅹ終末世界-スマートフォン向けアニメRPG
『Echocalypse -緋紅の神約-』の公式アカウントです。

ゲームに関する最新情報を、この私、イリリがお届けしていくからよろしくね～！

Google Play事前登録URL: https://t.co/JZmQyujKRS
＃エコカリ"	3
2	승리의 여신: 니케	NIKKE_kr	"미소녀들의 세계 탈환 판타지.
「독보적 퀄리티」의 모바일 미소녀 건슈팅 액션!"	0
3	블루 아카이브	KR_BlueArchive	"어느 날 다가온 소녀들의 밀리터리 청춘 판타지!
블루아카이브 한국 공식 트위터입니다."	0
4	벽람항로	azurlanekorea	함선 모에화 미소녀 슈팅 게임 벽람항로 한국 서버 공식 트위터입니다! https://t.co/FTE8oi1wpq	1
5	미니어스: 작지만 놀라운 모험	minius_kr	미니어스: 작지만 놀라운 모험 공식 페이지입니다.	4
6	붕괴3rd	HonkaiImpact3kr	히페리온 호 작전 개시! #붕괴3rd	0
7	명일방주	ArknightsKorea	YOSTAR가 운영하는 모바일 게임 '명일방주'의 공식 트위터입니다.	0
8	백야극광	AlchemyStarsKR	"「#백야극광」 Official Twitter

심장을 뛰게 할 신개념 전략 체인 RPG 「백야극광」

빛과 어둠이 대립하는 세상
마법과 과학이 공존하는 아스트라 대륙
어둠을 밝힐 빛의 판타지

6월 17일 10:00 그랜드 오픈"	0
9	원신	genshinimpactkr	충만한 원소의 힘이 깃든 환상의 세계 티바트! 과연 어떤 위대한 스토리가 여행자를 기다리고 있는지 페이몬과 같이 모험을 떠나보세요! - 새로운 홈페이지를 확인해 보세요	2
10	【公式】成り上がり～華と武の戦国	narisen_katobu	"縦画面型歴史シミュレーションRPG『成り上がり～華と武の戦国』の公式Twitterアカウントです！ゲームに関する情報を随時更新していきますので、フォローよろしくお願いいたします！お問い合わせ：narisen_cs@yoozoo.com
公式サイト：https://t.co/Fl30jmbjrC"	0
11	【公式】ステラアルカナ	stella_arcana	"人気スマホゲーム「＃ステラアルカナ~愛の光と運命の絆」公式アカウントです。

▼ダウンロードはこちら
【GooglePlay】https://t.co/M16Mpq87Pz
【AppStore】https://t.co/GeBZmvtVqD
＊不具合報告、ご意見＆ご要望などはゲーム内よりお問い合わせください"	4
12	インフィニティ キングダム-諸王の戦争	ikjapanofficial	"【好評配信中】YOOZOO GAMESが開発・運営した育成型戦略SLG「インフィニティ キングダム-諸王の戦争」（略称：アイケイ）の公式Twitterです。ゲームに関する様々な情報をお届けします。
公式サイト：https://t.co/4ofTSPhnel"	0
13	넥슨(NEXON KOREA)	NEXON_KR	안녕하넥 반갑슨!	0
14	𝑹𝒂𝒐𝒏 ラオン	raon_leee	ɪ ʟᴏᴠᴇ ꜱɪɴɢɪɴɢ! ✿	0
15	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	M_uu418	フリーのイラストレーター。SD(デフォルメ)の仕事してます。代表▶︎アズールレーン:オフニャ/紫咲シオン:塩っ子/LINEスタンプ』/雪花ラミィ:雪民/96猫/百鬼あやめYouTubeスタンプ、ホロライブグッズ・V関係等⚫︎企業様からのみご依頼お待ちしてます。▷【muuran0418@gmail.com】絵の使用NG	3
16	アズールレーン公式	azurlane_staff	好評配信中の新作スマホ向けゲーム「アズールレーン」　＃アズールレーン 公式Twitterアカウントです。   お問い合わせ⇛ cs@azurlane.net	0
17	붕괴3rd	HonkaiImpact3kr	히페리온 호 작전 개시! #붕괴3rd	0
18	Honkai Impact 3rd	HonkaiImpact3rd	Official Twitter of #HonkaiImpact3rd, the ultimate ACG Action title with next-gen gameplay.  Fight for everything that is beautiful in this world! #HoYoverse	6
19	原神（Genshin）公式	Genshin_7	PS5・PS4・iOS・Android・PC向けオープンワールドRPG『原神』公式Twitterアカウントです。最新情報をツイートします！ #原神 #Genshin #HoYoverse	0
20	YostarGames	YostarGlobal	Yostar Games is an internet game company that specializes in the development, global distribution, investment and IP management of online games.	0
21	Azur Lane Official	AzurLane_EN	The battleship girls game Azur Lane is now available! #AzurLane This is our official twitter. If you have any questions, please email to al.cs@yo-star.com	0
22	アークナイツ公式	ArknightsStaff	YostarとHyperGryphが贈るスマートフォン向け新作ゲーム「#アークナイツ」の公式アカウントです。 戦友募集のオススメハッシュタグ⇛ #アークナイツ戦友募集。お問い合わせ⇛ https://t.co/4jO8GXtlpg	0
23	Arknights_EN	ArknightsEN	Welcome to the official Twitter of Arknights EN. #Arknights is a strategic RPG mobile game with a fantasy theme. Official Discord server: https://t.co/IRlBLgG09c	0
24	Alchemy Stars: Aurora Blast	AlchemyStarsUS	"Welcome to the #AlchemyStarsAuroraBlast US channel! A new line strategy game set in Astra, where light and dark clash! 

Support: support@alchemystars.com"	4
25	Alchemy Stars	AlchemyStarsEN	"Welcome to #AlchemyStars! A revolutionary new line strategy game set in Astra, a captivating land of science and magic!
 
Support: help@alchemystars.com"	0
26	白夜極光＠P5Rコラボ開催中	AlchemyStarsJP	"新作ラインストラテジーRPG『#白夜極光』公式アカウントです。

対立する光と闇。
科学と魔法が織りなす幻想的なアストラ大陸。
混沌する世界で光を紡ぐ物語。

ダウンロード：https://t.co/78OqISq8mR

※ゲームに関するご連絡はお問い合わせより
お問い合わせ(メール)：help@alchemystars.jp"	0
27	미해결사건부	TearsofThemisKR	"⚖️ 추리연애시뮬레이션 게임 #미해결사건부 #미사부
⚖️ 매력적인 파트너와 함께 미스터리한 사건의 진실을 파헤쳐 보세요
✦ 공식 카페 https://t.co/72BCY8M5kV
✦ 고객센터 totcs_kr@hoyoverse.com
#여성향게임 #추리게임 #호요버스"	0
28	N0va Desktop	N0vaDesktop	Meet Lumi and personalize your device with this live wallpaper app!	3
29	Genshin Impact ES	genshinimpactes	Bienvenidos a Teyvat, un continente fantástico regido por siete elementos. Explora el mundo en busca de tu hermano/a perdido y desvela los misterios ocultos.	0
30	未定事件簿 公式【好評配信中】	TearsofThemisJP	女性向け恋愛×ミステリーゲーム『未定事件簿』の公式アカウントです。 様々な情報を発信していきますのでお楽しみに！ #未定事件簿 #TearsofThemis	0
31	Tears of Themis	TearsofThemisEN	"#TearsOfThemis #HoYoverse
✦ Embark now on an adventure of romance and wits!
✦ Contact us: totcs_glb@hoyoverse.com
✦ https://t.co/kEZv8YBcYo"	8
32	Genshin Impact	GenshinImpact	In the world of Teyvat — where all kinds of elemental powers constantly surge — epic adventures await, fearless Travelers!	0
33	【公式】Echocalypse -緋紅の神約-	Echocalypse_JP	"ケモノ娘ⅹ終末世界-スマートフォン向けアニメRPG
『Echocalypse -緋紅の神約-』の公式アカウントです。

ゲームに関する最新情報を、この私、イリリがお届けしていくからよろしくね～！

Google Play事前登録URL: https://t.co/JZmQyujKRS
＃エコカリ"	0
34	青山ひかる@あおみん(あお松)	hikaru06kon	有吉反省会 第1回反省大賞(お尻部門) @sherbet_info 青色／ #ゼロイチゲーム部 副部長／ #デジカ 公式で出演してます #ポケカ もする。この仕事をしていなければただのアニオタク(ゲーマー)な #野生児猫娘 全力(ZiZi)のひとり。 個人活動のお仕事は https://t.co/pgT7wpBJZc へ	0
35	【公式】ステラアルカナ	stella_arcana	"人気スマホゲーム「＃ステラアルカナ~愛の光と運命の絆」公式アカウントです。

▼ダウンロードはこちら
【GooglePlay】https://t.co/M16Mpq87Pz
【AppStore】https://t.co/GeBZmvtVqD
＊不具合報告、ご意見＆ご要望などはゲーム内よりお問い合わせください"	0
36	【公式】成り上がり～華と武の戦国	narisen_katobu	"縦画面型歴史シミュレーションRPG『成り上がり～華と武の戦国』の公式Twitterアカウントです！ゲームに関する情報を随時更新していきますので、フォローよろしくお願いいたします！お問い合わせ：narisen_cs@yoozoo.com
公式サイト：https://t.co/Fl30jmbjrC"	0
37	디스이즈게임	thisisgamecom	여러분의 타임라인으로 게임 뉴스를 전달해드립니다. 인사이트를 넓혀주는 게임 웹진, 디스이즈게임입니다. 제보는 bodo@thisisgame.com으로!	0
38	KT (케이티)	kt_corp	CS트위터: https://t.co/Nlq6nCNCPw |페이스북: https://t.co/yCVOMBMwpw |네이버포스트: https://t.co/hquK4oZbg8 |인스타그램: https://t.co/dRq8e9VN8B |유튜브: https://t.co/9sdaQne28M	0
39	에버랜드	withEverland	삼성물산 리조트부문 공식 트위터	10
40	남도형	namdo8303	"KBS 성우 남도형
(miraculous ladybug - adrien voiceactor,미키마우스 & 스파이더맨 전담성우, 쿠키런킹덤 - 마들렌맛 쿠키 성우, 원신 - 타르탈리아 성우) 
종합게임 유튜브채널 '남도형의 블루클럽' 운영중! 바로가기는 아래 주소를 누르세욥!!♡"	0
41	PelleK	imPelleK	"YouTuber, Actor, Singer/Songwriter
Founder and CEO of @DomiOnline"	0
42	HIKAKIN😎ヒカキン 【YouTuber】	hikakin	ユーチューバー。2006年からYouTubeやってます。YouTube&SNSフォロワー計2800万人突破。再生回数計173億回突破。UUUM株式会社最高顧問&ファウンダー。インスタTikTokもフォロー是非 ！コラボ依頼やお仕事依頼などのDMは一切返信出来ませんので全て事務所までお願いします！	0
43	TeddyLoid	TeddyLoidSpace	▲ DELTA Networks 🌐 Producer / DJ Artist⚡️YouTube: https://t.co/diw31twamk IG: https://t.co/BySPNESF1h Spotify: https://t.co/wOM5Sno0R4 📧: info@teddyloid.com	0
44	🌈NANO@10th Anniversary	nanonano_me	NANO OFFICIAL Anime/Jpop/Jrock Singer 🎤7/9 ワンマンLIVE Shibuya DUO 🎟https://t.co/HP6G35aOM7 🌟#NANO_10th ✉️CONTACT→ nanotomostaff@gmail.com	0
45	AmaLee / M̶̱̍ö̷̧́n̶̝͋a̷͔̓r̷̝̓c̶̼̈́h̸͕̀ 🦋	LeeandLie	Voice Actor / Singer / Vtuber @MonarchVerse 🦋 Art #MonARTch | DEBUT ORIGINAL ALBUM OUT NOW!! 🦋🎶 | VORep @AtlasTalent Cons @PTAppearances	0
46	안예은	56yenyen56	콩국수 청국장 파김치	0
47	Eve	oO0Eve0Oo	https://t.co/sSlZhSRFLu	0
48	Eve	oO0Eve0Oo	https://t.co/sSlZhSRFLu	0
